DATE & TIME, NET TOTAL(MW), EWIC(MW), MOYLE(MW)
31/08/2019 00:00,-579,-500,-79
31/08/2019 00:15,-579,-500,-79
31/08/2019 00:30,-580,-500,-80
31/08/2019 00:45,-580,-500,-80
31/08/2019 01:00,-580,-500,-80
31/08/2019 01:15,-580,-500,-80
31/08/2019 01:30,-579,-500,-79
31/08/2019 01:45,-579,-500,-79
31/08/2019 02:00,-580,-500,-80
31/08/2019 02:15,-579,-500,-79
31/08/2019 02:30,-579,-500,-79
31/08/2019 02:45,-580,-500,-80
31/08/2019 03:00,-579,-500,-79
31/08/2019 03:15,-580,-500,-80
31/08/2019 03:30,-580,-500,-80
31/08/2019 03:45,-528,-448,-80
31/08/2019 04:00,-453,-373,-80
31/08/2019 04:15,-377,-298,-79
31/08/2019 04:30,-351,-272,-79
31/08/2019 04:45,-349,-269,-80
31/08/2019 05:00,-273,-194,-79
31/08/2019 05:15,-205,-125,-80
31/08/2019 05:30,-158,-79,-79
31/08/2019 05:45,-233,-153,-80
31/08/2019 06:00,-249,-169,-80
31/08/2019 06:15,-302,-223,-79
31/08/2019 06:30,-227,-148,-79
31/08/2019 06:45,-217,-138,-79
31/08/2019 07:00,-293,-213,-80
31/08/2019 07:15,-303,-288,-15
31/08/2019 07:30,-368,-292,-76
31/08/2019 07:45,-303,-223,-80
31/08/2019 08:00,-164,-148,-16
31/08/2019 08:15,15,-73,88
31/08/2019 08:30,122,0,122
31/08/2019 08:45,145,0,145
31/08/2019 09:00,218,0,218
31/08/2019 09:15,293,0,293
31/08/2019 09:30,366,0,366
31/08/2019 09:45,408,0,408
31/08/2019 10:00,421,0,421
31/08/2019 10:15,419,0,419
31/08/2019 10:30,442,0,442
31/08/2019 10:45,389,0,389
31/08/2019 11:00,316,0,316
31/08/2019 11:15,227,-12,239
31/08/2019 11:30,167,-1,168
31/08/2019 11:45,165,0,165
31/08/2019 12:00,150,0,150
31/08/2019 12:15,120,0,120
31/08/2019 12:30,152,0,152
31/08/2019 12:45,178,0,178
31/08/2019 13:00,101,0,101
31/08/2019 13:15,33,0,33
