DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
31/08/2019 00:00,3383,-,All Island
31/08/2019 00:15,3317,-,All Island
31/08/2019 00:30,3262,-,All Island
31/08/2019 00:45,3183,-,All Island
31/08/2019 01:00,3116,-,All Island
31/08/2019 01:15,3080,-,All Island
31/08/2019 01:30,3023,-,All Island
31/08/2019 01:45,2975,-,All Island
31/08/2019 02:00,2966,-,All Island
31/08/2019 02:15,2959,-,All Island
31/08/2019 02:30,2899,-,All Island
31/08/2019 02:45,2870,-,All Island
31/08/2019 03:00,2864,-,All Island
31/08/2019 03:15,2841,-,All Island
31/08/2019 03:30,2826,-,All Island
31/08/2019 03:45,2775,-,All Island
31/08/2019 04:00,2771,-,All Island
31/08/2019 04:15,2801,-,All Island
31/08/2019 04:30,2760,-,All Island
31/08/2019 04:45,2796,-,All Island
31/08/2019 05:00,2821,-,All Island
31/08/2019 05:15,2835,-,All Island
31/08/2019 05:30,2836,-,All Island
31/08/2019 05:45,2841,-,All Island
31/08/2019 06:00,2883,-,All Island
31/08/2019 06:15,2931,-,All Island
31/08/2019 06:30,2953,-,All Island
31/08/2019 06:45,2955,-,All Island
31/08/2019 07:00,3018,-,All Island
31/08/2019 07:15,3170,-,All Island
31/08/2019 07:30,3242,-,All Island
31/08/2019 07:45,3350,-,All Island
31/08/2019 08:00,3473,-,All Island
31/08/2019 08:15,3595,-,All Island
31/08/2019 08:30,3708,-,All Island
31/08/2019 08:45,3783,-,All Island
31/08/2019 09:00,3895,-,All Island
31/08/2019 09:15,3976,-,All Island
31/08/2019 09:30,4046,-,All Island
31/08/2019 09:45,4069,-,All Island
31/08/2019 10:00,4094,-,All Island
31/08/2019 10:15,4115,-,All Island
31/08/2019 10:30,4144,-,All Island
31/08/2019 10:45,4153,-,All Island
31/08/2019 11:00,4147,-,All Island
31/08/2019 11:15,4146,-,All Island
31/08/2019 11:30,4139,-,All Island
31/08/2019 11:45,4168,-,All Island
31/08/2019 12:00,4121,-,All Island
31/08/2019 12:15,4136,-,All Island
