DATE & TIME, ACTUAL GENERATION(MW), REGION
31/08/2019 00:00,4195,All Island
31/08/2019 00:15,4132,All Island
31/08/2019 00:30,4075,All Island
31/08/2019 00:45,3995,All Island
31/08/2019 01:00,3929,All Island
31/08/2019 01:15,3891,All Island
31/08/2019 01:30,3830,All Island
31/08/2019 01:45,3783,All Island
31/08/2019 02:00,3773,All Island
31/08/2019 02:15,3764,All Island
31/08/2019 02:30,3705,All Island
31/08/2019 02:45,3679,All Island
31/08/2019 03:00,3674,All Island
31/08/2019 03:15,3648,All Island
31/08/2019 03:30,3631,All Island
31/08/2019 03:45,3527,All Island
31/08/2019 04:00,3448,All Island
31/08/2019 04:15,3404,All Island
31/08/2019 04:30,3339,All Island
31/08/2019 04:45,3372,All Island
31/08/2019 05:00,3319,All Island
31/08/2019 05:15,3267,All Island
31/08/2019 05:30,3220,All Island
31/08/2019 05:45,3300,All Island
31/08/2019 06:00,3358,All Island
31/08/2019 06:15,3453,All Island
31/08/2019 06:30,3339,All Island
31/08/2019 06:45,3254,All Island
31/08/2019 07:00,3325,All Island
31/08/2019 07:15,3481,All Island
31/08/2019 07:30,3622,All Island
31/08/2019 07:45,3663,All Island
31/08/2019 08:00,3648,All Island
31/08/2019 08:15,3592,All Island
31/08/2019 08:30,3595,All Island
31/08/2019 08:45,3648,All Island
31/08/2019 09:00,3685,All Island
31/08/2019 09:15,3693,All Island
31/08/2019 09:30,3688,All Island
31/08/2019 09:45,3670,All Island
31/08/2019 10:00,3681,All Island
31/08/2019 10:15,3705,All Island
31/08/2019 10:30,3712,All Island
31/08/2019 10:45,3776,All Island
31/08/2019 11:00,3842,All Island
31/08/2019 11:15,3916,All Island
31/08/2019 11:30,3966,All Island
31/08/2019 11:45,3998,All Island
31/08/2019 12:00,3959,All Island
31/08/2019 12:15,4009,All Island
31/08/2019 12:30,3981,All Island
31/08/2019 12:45,3962,All Island
31/08/2019 13:00,3980,All Island
31/08/2019 13:15,4047,All Island
31/08/2019 13:30,4056,All Island
31/08/2019 13:45,3986,All Island
31/08/2019 14:00,3887,All Island
31/08/2019 14:15,3812,All Island
31/08/2019 14:30,3819,All Island
31/08/2019 14:45,3820,All Island
31/08/2019 15:00,3851,All Island
31/08/2019 15:15,3977,All Island
31/08/2019 15:30,3999,All Island
31/08/2019 15:45,3976,All Island
31/08/2019 16:00,4008,All Island
31/08/2019 16:15,4003,All Island
31/08/2019 16:30,4067,All Island
31/08/2019 16:45,4107,All Island
31/08/2019 17:00,4117,All Island
31/08/2019 17:15,4191,All Island
31/08/2019 17:30,4230,All Island
31/08/2019 17:45,4335,All Island
31/08/2019 18:00,4334,All Island
31/08/2019 18:15,4264,All Island
31/08/2019 18:30,4212,All Island
31/08/2019 18:45,4222,All Island
31/08/2019 19:00,4158,All Island
31/08/2019 19:15,4123,All Island
31/08/2019 19:30,4098,All Island
31/08/2019 19:45,4062,All Island
31/08/2019 20:00,4052,All Island
31/08/2019 20:15,4178,All Island
31/08/2019 20:30,4149,All Island
31/08/2019 20:45,4182,All Island
31/08/2019 21:00,4148,All Island
31/08/2019 21:15,3994,All Island
31/08/2019 21:30,3981,All Island
31/08/2019 21:45,3928,All Island
31/08/2019 22:00,3894,All Island
31/08/2019 22:15,3872,All Island
31/08/2019 22:30,3660,All Island
31/08/2019 22:45,3479,All Island
31/08/2019 23:00,3322,All Island
31/08/2019 23:15,3324,All Island
31/08/2019 23:30,3338,All Island
31/08/2019 23:45,3335,All Island
01/09/2019 00:00,3335,All Island
01/09/2019 00:15,3256,All Island
01/09/2019 00:30,3122,All Island
01/09/2019 00:45,3022,All Island
01/09/2019 01:00,3032,All Island
