DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
31/08/2019 00:00,3010,2649,All Island
31/08/2019 00:15,3018,2616,All Island
31/08/2019 00:30,3026,2567,All Island
31/08/2019 00:45,3034,2460,All Island
31/08/2019 01:00,3030,2388,All Island
31/08/2019 01:15,2965,2337,All Island
31/08/2019 01:30,2900,2243,All Island
31/08/2019 01:45,2835,2201,All Island
31/08/2019 02:00,2773,2208,All Island
31/08/2019 02:15,2712,2207,All Island
31/08/2019 02:30,2652,2146,All Island
31/08/2019 02:45,2592,2125,All Island
31/08/2019 03:00,2541,2102,All Island
31/08/2019 03:15,2500,2025,All Island
31/08/2019 03:30,2458,2037,All Island
31/08/2019 03:45,2417,1970,All Island
31/08/2019 04:00,2382,1873,All Island
31/08/2019 04:15,2354,1873,All Island
31/08/2019 04:30,2326,1753,All Island
31/08/2019 04:45,2298,1787,All Island
31/08/2019 05:00,2274,1775,All Island
31/08/2019 05:15,2254,1727,All Island
31/08/2019 05:30,2234,1705,All Island
31/08/2019 05:45,2214,1749,All Island
31/08/2019 06:00,2198,1780,All Island
31/08/2019 06:15,2184,1872,All Island
31/08/2019 06:30,2170,1850,All Island
31/08/2019 06:45,2157,1747,All Island
31/08/2019 07:00,2198,1755,All Island
31/08/2019 07:15,2172,1939,All Island
31/08/2019 07:30,2147,2061,All Island
31/08/2019 07:45,2122,2129,All Island
31/08/2019 08:00,2096,2155,All Island
31/08/2019 08:15,2068,2058,All Island
31/08/2019 08:30,2040,2065,All Island
31/08/2019 08:45,2013,2021,All Island
31/08/2019 09:00,1990,1979,All Island
31/08/2019 09:15,1974,1936,All Island
31/08/2019 09:30,1957,1884,All Island
31/08/2019 09:45,1941,1823,All Island
31/08/2019 10:00,1941,1821,All Island
31/08/2019 10:15,1956,1878,All Island
31/08/2019 10:30,1972,1891,All Island
31/08/2019 10:45,1988,1932,All Island
31/08/2019 11:00,1998,1992,All Island
31/08/2019 11:15,2002,2029,All Island
31/08/2019 11:30,2006,2079,All Island
31/08/2019 11:45,2011,2131,All Island
31/08/2019 12:00,2020,2061,All Island
31/08/2019 12:15,2035,2101,All Island
31/08/2019 12:30,2051,2151,All Island
31/08/2019 12:45,2066,2131,All Island
31/08/2019 13:00,2118,2075,All Island
